Student_ID,Internal_Marks,Final_Exam_Marks,Attendance_Percentage
S0304,43,64,84
S0305,23,44,61
S0306,86,62,71
S0307,53,27,99
S0308,76,52,68
S0309,68,80,71
S0310,72,37,85
S0311,42,90,68
S0312,88,61,69
S0313,72,73,91
S0314,81,90,93
S0315,60,60,79
S0316,76,78,98
S0317,79,50,61
S0318,73,99,60
S0319,89,96,95
S0320,76,64,83
S0321,29,67,86
S0322,59,46,61
S0323,26,44,90
S0324,57,32,73
S0325,80,53,61
S0326,22,64,88
S0327,70,54,74
S0328,66,79,71
S0329,87,40,96
S0330,95,70,87
S0331,57,86,79
S0332,55,31,98
S0333,60,69,83
S0334,88,83,80
S0335,32,80,69
S0336,77,72,73
S0337,69,51,96
S0338,49,77,77
S0339,81,97,83
S0340,44,59,73
S0341,46,75,93
S0342,70,61,71
S0343,97,81,81
S0344,76,32,65
S0345,66,44,95
S0346,58,77,95
S0347,35,36,81
S0348,41,73,73
S0349,73,41,75
S0350,40,88,95
S0351,91,66,84
S0352,35,53,91
S0353,78,43,92
S0354,50,35,95
S0355,61,74,79
S0356,93,95,77
S0357,51,82,97
S0358,78,58,62
S0359,53,44,82
S0360,28,74,91
S0361,30,34,75
S0362,29,56,64
S0363,36,76,63
S0364,87,39,80
S0365,67,27,99
S0366,71,61,73
S0367,44,64,98
S0368,40,96,90
S0369,84,64,73
S0370,82,80,65
S0371,70,47,71
S0372,55,35,75
S0373,85,88,76
S0374,34,32,82
S0375,58,80,73
S0376,89,84,66
S0377,20,34,91
S0378,42,63,74
S0379,58,52,76
S0380,76,73,93
S0381,53,60,64
S0382,60,37,86
S0383,92,60,82
S0384,32,50,99
S0385,89,28,73
S0386,25,88,74
S0387,71,62,92
S0388,22,46,90
S0389,82,26,94
S0390,68,55,76
S0391,95,35,87
S0392,66,70,78
S0393,74,86,82
S0394,83,93,91
S0395,84,88,99
S0396,86,34,72
S0397,34,64,79
S0398,51,48,94
S0399,87,68,64
S0400,37,84,68
S0401,62,86,88
S0402,54,41,65
S0403,97,89,84
S0404,77,81,90
S0405,52,79,81
S0406,33,77,61
S0407,53,80,64
S0408,80,33,86
S0409,23,46,84
S0410,78,37,67
S0411,48,72,60
S0412,25,42,79
S0413,68,64,82
S0414,59,41,91
S0415,84,39,70
S0416,88,39,98
S0417,46,87,83
S0418,99,63,70
S0419,25,37,88
S0420,32,56,85
S0421,83,33,75
S0422,81,64,94
S0423,38,44,79
S0424,95,97,62
S0425,99,87,60
S0426,62,68,60
S0427,93,62,76
S0428,39,84,61
S0429,87,95,88
S0430,63,72,79
S0431,42,42,65
S0432,21,40,67
S0433,41,79,88
S0434,76,63,92
S0435,91,92,62
S0436,26,83,94
S0437,97,86,64
S0438,75,37,86
S0439,86,30,71
S0440,35,84,79
S0441,70,38,79
S0442,99,78,68
S0443,91,28,98
S0444,31,63,63
S0445,72,96,78
S0446,94,49,97
S0447,24,56,86
S0448,46,83,72
S0449,31,87,72
S0450,36,62,81
S0451,25,77,87
S0452,24,91,81
S0453,76,52,78
S0454,47,27,67
S0455,97,46,67
S0456,88,62,85
S0457,78,96,85
S0458,52,96,82
S0459,81,86,72
S0460,69,81,87
S0461,38,30,68
S0462,88,56,79
S0463,85,34,78
S0464,66,27,98
S0465,58,83,71
S0466,87,73,74
S0467,52,83,90
S0468,32,55,73
S0469,73,93,70
S0470,26,86,85
S0471,98,76,86
S0472,33,65,70
S0473,38,55,97
S0474,73,46,93
S0475,39,28,78
S0476,48,37,65
S0477,43,69,97
S0478,82,66,87
S0479,93,73,60
S0480,76,44,94
S0481,27,78,99
S0482,81,60,67
S0483,48,25,66
S0484,93,39,70
S0485,36,41,98
S0486,85,48,63
S0487,25,82,84
S0488,77,96,71
S0489,88,47,85
S0490,47,70,97
S0491,81,96,71
S0492,60,32,96
S0493,88,83,83
S0494,60,83,75
S0495,68,37,72
S0496,68,63,84
S0497,95,52,63
S0498,90,85,70
S0499,22,40,91
S0500,29,26,66
S0501,54,41,70
S0502,99,54,87
S0503,21,37,82
S0504,43,37,82
S0505,93,67,87
S0506,57,45,85
S0507,41,79,84
S0508,45,64,88
S0509,62,39,78
S0510,74,97,92
S0511,58,76,95
S0512,48,98,73
S0513,39,77,73
S0514,60,76,94
S0515,73,54,89
S0516,39,57,87
S0517,38,81,76
S0518,85,76,62
S0519,49,33,75
S0520,72,78,89
S0521,53,25,88
S0522,41,68,74
S0523,86,99,84
S0524,25,33,97
S0525,98,56,97
S0526,46,39,82
S0527,29,36,84
S0528,92,81,66
S0529,67,32,81
S0530,89,96,76
S0531,78,51,77
S0532,78,86,69
S0533,21,36,69
S0534,48,89,66
S0535,87,66,97
S0536,84,86,86
S0537,45,35,92
S0538,29,67,60
S0539,72,41,93
S0540,98,56,63
S0541,78,64,76
S0542,41,47,63
S0543,70,80,85
S0544,67,30,63
S0545,40,74,60
S0546,41,61,66
S0547,49,88,89
S0548,44,78,68
S0549,47,96,94
S0550,84,73,67
S0551,64,35,83
S0552,87,73,78
S0553,26,45,95
S0554,68,90,86
S0555,28,87,91
S0556,55,52,73
S0557,20,41,77
S0558,29,30,87
S0559,55,43,88
S0560,92,80,75
S0561,65,52,94
S0562,51,90,90
S0563,51,62,63
S0564,25,61,96
S0565,67,92,76
S0566,57,73,98
S0567,36,67,85
S0568,93,60,98
S0569,46,82,63
S0570,73,37,89
S0571,69,76,89
S0572,54,82,81
S0573,44,56,70
S0574,47,84,61
S0575,34,82,71
S0576,23,80,89
S0577,92,52,95
S0578,46,25,77
S0579,45,66,85
S0580,38,72,66
S0581,36,64,60
S0582,62,87,85
S0583,60,96,82
S0584,61,28,85
S0585,69,62,65
S0586,59,51,65
S0587,58,33,67
S0588,42,40,83
S0589,71,80,81
S0590,66,55,78
S0591,82,38,96
S0592,88,49,77
S0593,62,58,90
S0594,67,91,96
S0595,53,48,89
S0596,59,97,92
S0597,94,50,69
S0598,80,44,96
S0599,69,88,71
S0600,86,34,89
S0601,81,91,86
S0602,77,48,98
S0603,52,29,68
S0604,94,91,80
S0605,35,82,71
S0606,67,51,88
S0607,29,39,92
S0608,57,59,74
S0609,38,77,61
S0610,55,68,98
S0611,78,50,77
S0612,82,71,62
S0613,96,58,66
S0614,65,74,77
S0615,22,36,97
S0616,93,28,96
S0617,84,72,92
S0618,27,79,90
S0619,70,25,70
S0620,92,90,63
S0621,25,54,77
S0622,58,27,63
S0623,79,45,93
S0624,47,73,88
S0625,73,86,83
S0626,56,62,81
S0627,28,39,61
S0628,75,76,65
S0629,78,70,84
S0630,21,49,80
S0631,80,45,75
S0632,77,29,90
S0633,79,94,73
S0634,59,71,98
S0635,55,92,87
S0636,56,42,91
S0637,98,45,87
S0638,37,47,68
S0639,82,88,81
S0640,41,91,91
S0641,30,64,64
S0642,77,34,82
S0643,76,76,64
S0644,96,96,91
S0645,23,99,69
S0646,26,85,98
S0647,80,88,74
S0648,73,29,66
S0649,87,77,88
S0650,98,79,62
S0651,20,61,78
S0652,74,80,69
S0653,22,83,87
S0654,97,93,88
S0655,57,97,74
S0656,20,83,94
S0657,57,26,65
S0658,48,89,71
S0659,24,84,97
S0660,93,75,72
S0661,40,54,88
S0662,90,35,78
S0663,86,63,62
S0664,66,96,67
S0665,54,87,67
S0666,87,88,79
S0667,88,85,63
S0668,20,78,80
S0669,87,97,62
S0670,31,82,67
S0671,79,80,82
S0672,46,58,75
S0673,75,55,72
S0674,42,76,62
S0675,44,25,68
S0676,40,79,73
S0677,80,46,72
S0678,82,64,66
S0679,71,25,74
S0680,44,89,66
S0681,74,87,97
S0682,65,78,93
S0683,51,66,81
S0684,74,45,83
S0685,24,46,96
S0686,55,62,60
S0687,68,32,69
S0688,77,86,75
S0689,58,71,67
S0690,99,41,84
S0691,80,41,71
S0692,28,37,84
S0693,25,41,76
S0694,54,62,85
S0695,58,69,73
S0696,41,30,95
S0697,60,59,82
S0698,24,38,65
S0699,61,96,64
S0700,95,85,84
S0701,99,39,77
S0702,86,78,72
S0703,49,51,73
S0704,76,37,87
S0705,92,55,77
S0706,48,59,87
S0707,56,84,86
S0708,32,30,91
S0709,51,93,68
S0710,65,82,99
S0711,42,73,91
S0712,64,47,79
S0713,36,58,87
S0714,85,50,92
S0715,25,71,63
S0716,37,29,93
S0717,41,44,62
S0718,52,30,85
S0719,49,94,67
S0720,51,83,65
