Machine_Temperature,Pressure_Level,Production_Speed,Vibration_Level,Energy_Consumption,Material_Thickness,Defect_Count
42,55,107,0.4492733232703032,3880,1.525290878943995,5
76,71,199,4.777834147163206,2133,4.891958823194566,9
82,26,339,3.3079960990136064,3383,3.503076791208928,8
79,48,186,1.962365093792306,1821,0.5469246472883138,5
94,30,397,1.066055220207099,1237,1.6493606810834878,8
78,52,113,2.44799782427364,3428,1.6732098496396244,3
54,25,433,1.0533357836079749,4507,0.8116443782863697,7
43,51,101,0.9150248779413965,3946,4.819219331341681,3
64,70,474,3.125023611323574,3530,2.6521488255916568,1
52,77,392,2.663115150450745,2960,4.531165688173469,9
72,45,424,3.3834705695936145,3949,1.9499697655008275,8
55,65,140,4.655068799367747,2048,1.063551066947722,4
81,48,417,2.708075045361297,2676,2.6345124945779625,3
105,23,415,2.946567060987709,4188,1.0128048562144272,1
94,32,480,0.5391690618592164,3529,2.6870697633989296,0
81,58,210,3.616415350952285,4463,4.641337315487335,6
73,34,113,2.0595355133403657,3964,2.843456638253957,5
69,48,330,4.885953669446637,4041,3.274248771027876,1
52,48,183,4.133552676418735,1963,1.2048729663821374,7
52,51,229,2.66015709852898,1536,0.6968103164598627,3
57,21,330,0.7037910054436136,4150,0.9986358298091317,7
71,66,425,4.311137387074886,2603,3.1933920905796453,6
78,41,244,4.018927367577707,4244,0.927552645465371,4
85,46,478,1.0044671347314618,2979,2.1919680047359016,9
68,86,444,1.5468636171795196,4083,2.975413732061702,9
101,75,127,3.9876955649244032,4871,2.2489375938343117,7
101,40,165,1.0076193880823074,1127,1.2365771065938567,8
96,66,262,4.596987196939748,4679,1.7320608838134794,4
55,78,328,2.1801843834621737,1091,4.677428897818596,9
95,25,360,0.5264909166795274,4724,3.541920240138599,4
49,38,263,4.097168353170977,1542,2.7322152740594894,1
69,76,400,1.9301974468880996,1845,0.5572170049410208,4
64,88,402,2.679846051353527,4603,4.9658693022026155,2
44,22,386,0.6502912876149739,2681,3.5215472070258946,6
104,20,494,0.1126616727404137,4036,1.9261511480522522,9
88,77,109,3.226127508387159,2851,4.456708969990272,4
42,57,294,2.6243583346352852,3494,1.6629422913131815,7
84,34,217,3.0083389887034215,1389,2.948074606322382,0
53,53,369,3.9893448668645304,3719,3.362318436784213,2
69,80,179,3.268368975772015,2884,1.494785171541778,2
107,54,192,0.9563898698541482,1042,4.902787754602682,8
57,83,365,1.8677853436419394,1253,3.866863576905489,4
101,44,431,4.538866413460026,4201,3.0101595147998146,8
76,43,449,3.872729031233227,2083,1.312675691788854,8
64,31,460,2.8275215838899146,3710,0.7423619314911176,0
87,37,356,1.3526604892654344,3514,1.9402692463444255,1
104,34,232,1.580096458990496,3334,3.8893430116103125,4
92,46,375,3.6865945311696096,4058,1.7119908423591128,3
118,79,363,4.270753878178577,2540,2.9280029922297732,9
112,65,270,3.389980880700011,4538,3.7757622952883443,8
54,36,100,4.066696881265365,2953,0.9857467159090896,6
88,72,412,3.8566150624819895,3825,3.5838410725214302,5
107,27,163,0.833549442989093,3392,0.9134189946952012,6
51,46,473,2.17732958327518,1641,4.843083839571484,0
98,65,383,0.8496206240599571,3429,2.697773585292228,0
76,69,220,1.2526543655297258,4850,1.1780424846944482,7
100,22,206,4.359372160790158,1689,2.0407263621509593,1
82,83,274,2.417170631602593,2276,2.3603740218286764,9
109,63,303,2.7232546990290385,2950,3.911832549844418,8
78,72,264,0.9743852296160834,2079,3.8454070373447418,6
95,43,404,1.6301317516391007,2486,3.2537322740179895,5
102,79,219,1.2282062252965629,1456,0.9766882065132183,0
85,22,143,1.1103122061402897,1982,1.1820621721445312,0
50,39,411,3.226007887248254,3130,0.9219061429050048,1
101,65,255,1.3587308534640028,4976,3.0972775247939754,5
116,34,466,3.1968758815000506,2122,4.447122986801318,5
64,44,306,0.3864276091319142,1148,2.452102305146473,1
110,36,489,0.7946945282827992,2352,1.2238167828098578,0
91,28,207,1.4452472446006146,2179,3.0111904631703514,9
43,57,350,3.0255298927888896,1189,4.152884975895694,4
98,67,469,3.4116221009281427,4565,3.837704276808185,4
111,79,433,2.269313137219683,1882,4.466528508537596,1
59,82,229,2.2843754814284223,3310,1.7505594376199052,5
102,21,392,3.650132571853229,4151,1.372792402704987,8
93,30,119,0.17752334965135397,1399,4.459174186738725,1
113,83,381,1.7713411199236808,3811,3.459021407501104,9
96,40,384,4.11166457988424,1608,1.8991801850339938,1
80,37,100,3.0557751100455244,4331,3.8405662275762915,2
42,83,218,1.75241295050156,2795,4.168032730161656,6
45,57,134,4.537071482415402,2638,3.2674020815350957,5
44,51,297,3.885851364501975,2575,3.595478494459618,7
44,30,344,1.397987691459994,3832,2.1886695699919985,7
93,64,158,3.261920203876013,3148,2.924130503043676,5
86,52,424,3.0191785681258883,2382,2.85871626826773,9
88,60,260,2.065820778791015,2403,4.316215060088473,2
48,27,278,1.8980847881035234,1819,4.279837911269821,2
59,30,305,1.7834463264009495,4292,4.247062112061695,0
100,70,111,3.1240633386386696,1819,0.5496422641810961,6
74,60,375,2.267808688755281,1419,3.872954680109997,4
89,36,280,4.1761292549319675,1123,3.914043755499522,3
101,65,341,3.3810528190564137,1421,3.552704702848138,9
56,51,315,0.4426648679762273,4302,3.9031909605115365,3
42,73,350,3.236824296758014,4761,4.288866671735189,3
71,39,398,1.4286224388509057,4134,2.6164357434580356,5
52,52,225,3.0047787591017716,2508,2.759225960698012,7
112,59,316,3.432646462406912,4699,1.061213256101257,7
107,51,405,1.2310630268546594,4774,2.2341914737131283,4
53,21,384,2.3386073599138064,2597,3.3951433096030295,5
50,52,284,1.0325918278134323,1767,4.011798992662735,3
95,49,138,0.3564604913538908,3044,1.4774409396104475,8
106,52,322,1.9545344750807587,3530,1.1202030462165593,7
68,45,283,1.878426932045361,3566,3.483689020252215,9
48,41,277,4.977854404450859,3202,0.5084594758620979,9
106,85,393,2.287126520868447,3139,1.3026766293829843,0
64,57,439,1.7344907924137822,4029,0.6308212115477918,1
115,65,250,2.944327532911706,2549,1.2509830303469192,8
81,34,483,0.5349602311280655,3502,1.3159367596647735,7
48,63,225,4.812162106178585,2764,2.244531176376774,2
118,68,400,3.2113042233960627,3044,2.3104720610895018,7
79,80,407,3.798705317710154,3645,4.4341811177460695,0
64,86,435,0.935341897052196,4716,2.7954937062447134,9
44,25,333,2.106441479725499,1509,3.755321445255288,3
50,28,479,2.171176655641329,2206,0.9686181106412934,2
98,25,474,4.126851575115325,1385,1.5144743995866223,5
118,51,107,0.10605973082110627,2597,3.6632454844040456,6
77,60,440,1.57418023093095,4802,0.7376178221083765,3
111,27,228,4.908058234287089,3452,2.689689480096889,6
44,69,363,2.4269440631804713,3293,3.1971603454832023,8
87,81,256,1.9743787731956406,1741,3.2096553982361646,1
57,81,451,0.6871621098864671,4662,0.6031976507061891,2
109,26,457,4.873406680277276,3708,1.9494860190313348,4
76,23,104,0.19812914403653992,3697,3.3642079297211933,2
99,25,185,3.7121831025354917,4542,1.1704988126715956,7
87,77,274,3.8661390434636917,4897,3.6293704174762396,9
116,41,389,1.2939179087129467,2911,3.8566634396615354,7
67,45,292,3.390636373703883,2446,4.918861357007653,7
108,22,410,0.5553528074590107,1900,1.4442889768538425,8
116,60,218,1.3595316055171915,3112,4.213088004497518,3
79,79,317,3.960719742632099,4084,2.8413345961339433,4
84,33,213,4.336962340964347,3260,2.1805816826487803,4
101,31,244,3.0815834220329776,3009,1.0506954079633006,7
97,31,125,2.583508315920365,1241,3.809775229193919,6
106,32,235,0.8805897010330035,3540,1.5613591961465918,8
95,44,402,0.40923426208783586,4284,2.171399008428706,7
79,64,331,0.6764802395204372,4764,0.781440021038158,1
79,38,468,1.2140507704708843,3385,4.106151121187835,9
116,74,175,1.7742050592949123,3020,3.949648357872395,3
72,64,427,1.9664566750038377,1172,3.801271235190406,5
45,27,444,1.7969766660861175,1671,1.84749579721349,1
58,72,401,1.2713711277666015,1163,1.2806603341968077,6
