Products_Viewed,Products_Clicked,Products_Purchased,Time_Spent_Seconds,Cart_Additions,Wishlist_Additions,Product_Ratings
35,2,4,265,11,7,5
1,22,3,459,9,4,3
35,3,7,19,6,3,2
37,16,6,251,8,1,5
47,29,1,260,0,2,2
14,9,0,14,6,2,4
3,4,3,128,5,3,1
1,1,7,383,9,3,2
5,4,1,74,13,9,1
26,1,2,155,11,4,5
14,14,0,233,8,3,1
39,21,0,248,0,9,2
27,16,2,186,12,7,4
9,20,4,291,3,5,5
15,24,2,72,8,5,2
15,8,0,226,3,7,5
26,7,0,470,9,6,3
42,3,7,114,2,9,1
13,17,9,108,8,9,3
32,1,1,520,12,7,2
39,16,2,394,1,1,4
49,12,1,414,14,8,5
32,27,2,527,3,0,1
4,19,6,485,14,7,5
30,22,0,446,5,3,2
37,23,9,32,1,3,5
23,22,7,574,14,4,1
39,14,9,467,7,7,2
45,6,9,92,7,4,5
15,6,9,154,0,7,4
43,13,1,94,11,9,2
29,19,2,87,2,0,2
36,22,8,466,9,9,4
13,8,6,10,8,8,3
32,27,3,60,4,5,1
7,27,9,455,5,2,3
22,2,4,458,3,7,5
28,21,1,497,9,8,4
2,1,7,43,1,5,3
42,28,3,357,10,6,2
45,15,8,104,7,0,5
6,1,4,81,10,4,5
28,5,8,560,12,4,3
28,28,3,163,5,9,3
44,29,9,259,4,3,4
44,16,4,447,8,5,1
20,19,8,127,0,6,3
30,4,7,315,4,8,3
11,3,2,277,5,0,2
28,17,0,63,4,5,5
25,17,2,245,5,6,1
39,12,3,398,5,2,2
33,28,1,410,6,7,4
1,29,0,312,3,4,4
27,14,6,216,13,8,3
13,21,7,238,10,4,3
41,6,6,587,13,8,4
3,3,4,84,13,9,3
39,28,0,444,13,3,1
6,9,6,112,14,8,3
8,5,6,431,7,4,5
27,24,8,315,6,9,3
9,29,2,107,8,8,2
37,17,8,344,6,2,1
33,14,0,444,2,3,2
42,21,0,456,2,8,2
44,3,3,317,14,9,5
24,28,8,258,7,5,1
15,1,5,175,4,1,1
32,20,2,490,3,6,1
